TITLE,sample 2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:19:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01558
MAXY,   123.49834
MINY,    -0.02685
XYDATA
1377.3000,0.636836
1377.2000,0.644986
1377.1000,0.657705
1377.0000,0.661392
1376.9000,0.668912
1376.8000,0.678557
1376.7000,0.686641
1376.6000,0.696721
1376.5000,0.710416
1376.4000,0.723235
1376.3000,0.73948
1376.2000,0.747093
1376.1000,0.764227
1376.0000,0.776308
1375.9000,0.78533
1375.8000,0.797756
1375.7000,0.80608
1375.6000,0.818031
1375.5000,0.82654
1375.4000,0.835802
1375.3000,0.846582
1375.2000,0.860712
1375.1000,0.881263
1375.0000,0.897306
1374.9000,0.90414
1374.8000,0.913524
1374.7000,0.926876
1374.6000,0.933598
1374.5000,0.942561
1374.4000,0.951439
1374.3000,0.964526
1374.2000,0.976029
1374.1000,0.984471
1374.0000,1.00018
1373.9000,1.00296
1373.8000,1.0174
1373.7000,1.03082
1373.6000,1.04903
1373.5000,1.06452
1373.4000,1.07923
1373.3000,1.09378
1373.2000,1.10718
1373.1000,1.12371
1373.0000,1.13988
1372.9000,1.14475
1372.8000,1.1639
1372.7000,1.17586
1372.6000,1.18721
1372.5000,1.20763
1372.4000,1.22247
1372.3000,1.23832
1372.2000,1.25432
1372.1000,1.26896
1372.0000,1.2832
1371.9000,1.29835
1371.8000,1.31228
1371.7000,1.32337
1371.6000,1.33577
1371.5000,1.347
1371.4000,1.36251
1371.3000,1.37301
1371.2000,1.39305
1371.1000,1.40612
1371.0000,1.41677
1370.9000,1.43025
1370.8000,1.4426
1370.7000,1.45777
1370.6000,1.47608
1370.5000,1.48656
1370.4000,1.49839
1370.3000,1.50894
1370.2000,1.52096
1370.1000,1.53403
1370.0000,1.54443
1369.9000,1.5586
1369.8000,1.57218
1369.7000,1.58673
1369.6000,1.59507
1369.5000,1.60965
1369.4000,1.62243
1369.3000,1.63548
1369.2000,1.64753
1369.1000,1.65898
1369.0000,1.66775
1368.9000,1.68082
1368.8000,1.69166
1368.7000,1.69931
1368.6000,1.70381
1368.5000,1.72062
1368.4000,1.73473
1368.3000,1.74388
1368.2000,1.76125
1368.1000,1.77863
1368.0000,1.78702
1367.9000,1.79382
1367.8000,1.81065
1367.7000,1.8231
1367.6000,1.83647
1367.5000,1.85194
1367.4000,1.85947
1367.3000,1.87564
1367.2000,1.88817
1367.1000,1.89962
1367.0000,1.90781
1366.9000,1.91963
1366.8000,1.93448
1366.7000,1.94269
1366.6000,1.95364
1366.5000,1.96796
1366.4000,1.9861
1366.3000,2.00011
1366.2000,2.01122
1366.1000,2.02093
1366.0000,2.03275
1365.9000,2.04701
1365.8000,2.06228
1365.7000,2.07652
1365.6000,2.09249
1365.5000,2.10641
1365.4000,2.12383
1365.3000,2.13557
1365.2000,2.15312
1365.1000,2.16468
1365.0000,2.17792
1364.9000,2.18251
1364.8000,2.19257
1364.7000,2.20666
1364.6000,2.21745
1364.5000,2.2293
1364.4000,2.24226
1364.3000,2.25203
1364.2000,2.26273
1364.1000,2.2737
1364.0000,2.29006
1363.9000,2.30913
1363.8000,2.32961
1363.7000,2.34564
1363.6000,2.35116
1363.5000,2.36513
1363.4000,2.37842
1363.3000,2.38755
1363.2000,2.39439
1363.1000,2.40483
1363.0000,2.42064
1362.9000,2.43439
1362.8000,2.44967
1362.7000,2.45566
1362.6000,2.47386
1362.5000,2.48943
1362.4000,2.49807
1362.3000,2.51331
1362.2000,2.52562
1362.1000,2.53939
1362.0000,2.54575
1361.9000,2.56141
1361.8000,2.56855
1361.7000,2.58144
1361.6000,2.59576
1361.5000,2.61332
1361.4000,2.62726
1361.3000,2.6443
1361.2000,2.65319
1361.1000,2.66649
1361.0000,2.67938
1360.9000,2.68882
1360.8000,2.69613
1360.7000,2.70365
1360.6000,2.7084
1360.5000,2.7207
1360.4000,2.7408
1360.3000,2.75313
1360.2000,2.76545
1360.1000,2.78069
1360.0000,2.79557
1359.9000,2.80837
1359.8000,2.8132
1359.7000,2.82391
1359.6000,2.83713
1359.5000,2.85647
1359.4000,2.86149
1359.3000,2.87468
1359.2000,2.88769
1359.1000,2.89919
1359.0000,2.91266
1358.9000,2.92721
1358.8000,2.93298
1358.7000,2.94602
1358.6000,2.95568
1358.5000,2.96832
1358.4000,2.98368
1358.3000,2.99851
1358.2000,3.00806
1358.1000,3.01418
1358.0000,3.02893
1357.9000,3.04726
1357.8000,3.06062
1357.7000,3.07755
1357.6000,3.08847
1357.5000,3.10497
1357.4000,3.11705
1357.3000,3.12292
1357.2000,3.13103
1357.1000,3.14573
1357.0000,3.15896
1356.9000,3.17556
1356.8000,3.18882
1356.7000,3.20502
1356.6000,3.22098
1356.5000,3.23606
1356.4000,3.2453
1356.3000,3.24994
1356.2000,3.2649
1356.1000,3.27204
1356.0000,3.28345
1355.9000,3.29517
1355.8000,3.31193
1355.7000,3.32183
1355.6000,3.3444
1355.5000,3.35946
1355.4000,3.3749
1355.3000,3.39128
1355.2000,3.40411
1355.1000,3.41829
1355.0000,3.43396
1354.9000,3.44944
1354.8000,3.46452
1354.7000,3.478
1354.6000,3.49307
1354.5000,3.49831
1354.4000,3.5161
1354.3000,3.5299
1354.2000,3.54471
1354.1000,3.55839
1354.0000,3.56779
1353.9000,3.57622
1353.8000,3.59134
1353.7000,3.60408
1353.6000,3.61265
1353.5000,3.62383
1353.4000,3.63742
1353.3000,3.65051
1353.2000,3.66332
1353.1000,3.67935
1353.0000,3.69101
1352.9000,3.7024
1352.8000,3.71474
1352.7000,3.73034
1352.6000,3.73907
1352.5000,3.75601
1352.4000,3.76559
1352.3000,3.77813
1352.2000,3.78615
1352.1000,3.80005
1352.0000,3.81241
1351.9000,3.82137
1351.8000,3.83736
1351.7000,3.8582
1351.6000,3.87472
1351.5000,3.88068
1351.4000,3.89042
1351.3000,3.91099
1351.2000,3.92589
1351.1000,3.93677
1351.0000,3.95357
1350.9000,3.96943
1350.8000,3.99237
1350.7000,4.01391
1350.6000,4.0311
1350.5000,4.03655
1350.4000,4.05394
1350.3000,4.07258
1350.2000,4.09091
1350.1000,4.10267
1350.0000,4.12437
1349.9000,4.13652
1349.8000,4.15601
1349.7000,4.17512
1349.6000,4.19569
1349.5000,4.21003
1349.4000,4.22933
1349.3000,4.24552
1349.2000,4.26633
1349.1000,4.28481
1349.0000,4.30838
1348.9000,4.32098
1348.8000,4.33993
1348.7000,4.36285
1348.6000,4.37653
1348.5000,4.39479
1348.4000,4.41233
1348.3000,4.43279
1348.2000,4.45592
1348.1000,4.47308
1348.0000,4.48961
1347.9000,4.50923
1347.8000,4.52835
1347.7000,4.54821
1347.6000,4.56323
1347.5000,4.5776
1347.4000,4.59127
1347.3000,4.61631
1347.2000,4.64164
1347.1000,4.65741
1347.0000,4.68038
1346.9000,4.70086
1346.8000,4.7161
1346.7000,4.74304
1346.6000,4.76465
1346.5000,4.78519
1346.4000,4.80265
1346.3000,4.82702
1346.2000,4.84811
1346.1000,4.86827
1346.0000,4.88773
1345.9000,4.9015
1345.8000,4.92211
1345.7000,4.94819
1345.6000,4.96501
1345.5000,4.98433
1345.4000,5.01006
1345.3000,5.02881
1345.2000,5.04607
1345.1000,5.07147
1345.0000,5.09005
1344.9000,5.10648
1344.8000,5.12917
1344.7000,5.1512
1344.6000,5.16917
1344.5000,5.1917
1344.4000,5.21276
1344.3000,5.23545
1344.2000,5.2614
1344.1000,5.28184
1344.0000,5.29691
1343.9000,5.32107
1343.8000,5.34116
1343.7000,5.3651
1343.6000,5.39075
1343.5000,5.41424
1343.4000,5.4358
1343.3000,5.46093
1343.2000,5.48733
1343.1000,5.50855
1343.0000,5.53265
1342.9000,5.55477
1342.8000,5.58275
1342.7000,5.61051
1342.6000,5.63187
1342.5000,5.66288
1342.4000,5.68912
1342.3000,5.70706
1342.2000,5.72888
1342.1000,5.75407
1342.0000,5.77927
1341.9000,5.80596
1341.8000,5.83521
1341.7000,5.86495
1341.6000,5.88579
1341.5000,5.91067
1341.4000,5.9413
1341.3000,5.97187
1341.2000,5.99867
1341.1000,6.0237
1341.0000,6.04657
1340.9000,6.07173
1340.8000,6.10326
1340.7000,6.12756
1340.6000,6.1558
1340.5000,6.18668
1340.4000,6.21153
1340.3000,6.24088
1340.2000,6.26969
1340.1000,6.29888
1340.0000,6.32925
1339.9000,6.35718
1339.8000,6.38897
1339.7000,6.41894
1339.6000,6.4396
1339.5000,6.47347
1339.4000,6.50291
1339.3000,6.523
1339.2000,6.55357
1339.1000,6.58879
1339.0000,6.61711
1338.9000,6.64873
1338.8000,6.67752
1338.7000,6.70956
1338.6000,6.74074
1338.5000,6.77239
1338.4000,6.80803
1338.3000,6.84233
1338.2000,6.8703
1338.1000,6.89686
1338.0000,6.92924
1337.9000,6.96248
1337.8000,6.99727
1337.7000,7.03419
1337.6000,7.06492
1337.5000,7.09885
1337.4000,7.13061
1337.3000,7.1658
1337.2000,7.19848
1337.1000,7.2278
1337.0000,7.25729
1336.9000,7.28954
1336.8000,7.32422
1336.7000,7.35718
1336.6000,7.3891
1336.5000,7.42433
1336.4000,7.46087
1336.3000,7.49073
1336.2000,7.53026
1336.1000,7.56435
1336.0000,7.60246
1335.9000,7.6384
1335.8000,7.67387
1335.7000,7.70903
1335.6000,7.74412
1335.5000,7.77399
1335.4000,7.80606
1335.3000,7.84388
1335.2000,7.87571
1335.1000,7.90792
1335.0000,7.94695
1334.9000,7.9832
1334.8000,8.01898
1334.7000,8.05191
1334.6000,8.09108
1334.5000,8.12879
1334.4000,8.16546
1334.3000,8.19839
1334.2000,8.23151
1334.1000,8.26438
1334.0000,8.30086
1333.9000,8.33909
1333.8000,8.38066
1333.7000,8.41501
1333.6000,8.44739
1333.5000,8.48537
1333.4000,8.51677
1333.3000,8.55291
1333.2000,8.58824
1333.1000,8.62726
1333.0000,8.66375
1332.9000,8.70186
1332.8000,8.73437
1332.7000,8.77149
1332.6000,8.8043
1332.5000,8.83455
1332.4000,8.87723
1332.3000,8.92055
1332.2000,8.95768
1332.1000,8.9909
1332.0000,9.03373
1331.9000,9.06978
1331.8000,9.10833
1331.7000,9.14721
1331.6000,9.18697
1331.5000,9.22848
1331.4000,9.26385
1331.3000,9.29867
1331.2000,9.33967
1331.1000,9.38368
1331.0000,9.42441
1330.9000,9.46432
1330.8000,9.50322
1330.7000,9.54599
1330.6000,9.58131
1330.5000,9.6173
1330.4000,9.6578
1330.3000,9.69689
1330.2000,9.74217
1330.1000,9.78223
1330.0000,9.82554
1329.9000,9.86766
1329.8000,9.90959
1329.7000,9.95293
1329.6000,9.99505
1329.5000,10.0356
1329.4000,10.0824
1329.3000,10.1286
1329.2000,10.1639
1329.1000,10.2001
1329.0000,10.2469
1328.9000,10.2924
1328.8000,10.3292
1328.7000,10.3794
1328.6000,10.4218
1328.5000,10.4667
1328.4000,10.5104
1328.3000,10.5569
1328.2000,10.5985
