TITLE,sample3a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:03:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.03998
MAXY,   125.24290
MINY,    -0.01736
XYDATA
1380.9000,0.465447
1380.8000,0.472964
1380.7000,0.479966
1380.6000,0.493992
1380.5000,0.499859
1380.4000,0.51077
1380.3000,0.519208
1380.2000,0.520313
1380.1000,0.524598
1380.0000,0.539782
1379.9000,0.5445
1379.8000,0.550497
1379.7000,0.56239
1379.6000,0.577514
1379.5000,0.583938
1379.4000,0.594973
1379.3000,0.610095
1379.2000,0.621335
1379.1000,0.629556
1379.0000,0.638692
1378.9000,0.646624
1378.8000,0.648623
1378.7000,0.665211
1378.6000,0.675837
1378.5000,0.686328
1378.4000,0.690875
1378.3000,0.700994
1378.2000,0.711978
1378.1000,0.720165
1378.0000,0.739602
1377.9000,0.753907
1377.8000,0.768512
1377.7000,0.776189
1377.6000,0.788426
1377.5000,0.809126
1377.4000,0.820931
1377.3000,0.840872
1377.2000,0.854088
1377.1000,0.866526
1377.0000,0.88578
1376.9000,0.896724
1376.8000,0.908316
1376.7000,0.921142
1376.6000,0.943102
1376.5000,0.961053
1376.4000,0.978668
1376.3000,0.994151
1376.2000,1.00373
1376.1000,1.0105
1376.0000,1.02477
1375.9000,1.03962
1375.8000,1.05846
1375.7000,1.07381
1375.6000,1.09494
1375.5000,1.10939
1375.4000,1.12721
1375.3000,1.14255
1375.2000,1.1593
1375.1000,1.18201
1375.0000,1.19321
1374.9000,1.21316
1374.8000,1.2305
1374.7000,1.24331
1374.6000,1.26533
1374.5000,1.27891
1374.4000,1.29456
1374.3000,1.30503
1374.2000,1.32244
1374.1000,1.33242
1374.0000,1.35203
1373.9000,1.37002
1373.8000,1.39326
1373.7000,1.41678
1373.6000,1.43289
1373.5000,1.45635
1373.4000,1.46452
1373.3000,1.48288
1373.2000,1.50072
1373.1000,1.51575
1373.0000,1.53189
1372.9000,1.55478
1372.8000,1.56704
1372.7000,1.58963
1372.6000,1.60246
1372.5000,1.61962
1372.4000,1.63642
1372.3000,1.65284
1372.2000,1.6665
1372.1000,1.67604
1372.0000,1.69503
1371.9000,1.70935
1371.8000,1.73162
1371.7000,1.75807
1371.6000,1.77261
1371.5000,1.79226
1371.4000,1.81044
1371.3000,1.83869
1371.2000,1.85684
1371.1000,1.87357
1371.0000,1.88987
1370.9000,1.91319
1370.8000,1.93219
1370.7000,1.94761
1370.6000,1.95933
1370.5000,1.97461
1370.4000,1.98887
1370.3000,2.00565
1370.2000,2.02807
1370.1000,2.04529
1370.0000,2.05557
1369.9000,2.07212
1369.8000,2.09436
1369.7000,2.11232
1369.6000,2.13765
1369.5000,2.15501
1369.4000,2.17513
1369.3000,2.19348
1369.2000,2.21132
1369.1000,2.23375
1369.0000,2.25702
1368.9000,2.28104
1368.8000,2.30134
1368.7000,2.31758
1368.6000,2.33828
1368.5000,2.35511
1368.4000,2.37132
1368.3000,2.38453
1368.2000,2.39284
1368.1000,2.40652
1368.0000,2.42465
1367.9000,2.44438
1367.8000,2.45898
1367.7000,2.46877
1367.6000,2.48495
1367.5000,2.50426
1367.4000,2.52321
1367.3000,2.53921
1367.2000,2.55923
1367.1000,2.57906
1367.0000,2.59131
1366.9000,2.60617
1366.8000,2.62489
1366.7000,2.64394
1366.6000,2.66085
1366.5000,2.68236
1366.4000,2.69067
1366.3000,2.70602
1366.2000,2.728
1366.1000,2.74497
1366.0000,2.76165
1365.9000,2.7808
1365.8000,2.79148
1365.7000,2.81203
1365.6000,2.82585
1365.5000,2.8412
1365.4000,2.8561
1365.3000,2.8711
1365.2000,2.89032
1365.1000,2.91917
1365.0000,2.93573
1364.9000,2.949
1364.8000,2.96352
1364.7000,2.97387
1364.6000,2.99584
1364.5000,3.01742
1364.4000,3.03287
1364.3000,3.04911
1364.2000,3.06569
1364.1000,3.08255
1364.0000,3.10387
1363.9000,3.1174
1363.8000,3.14217
1363.7000,3.15668
1363.6000,3.17438
1363.5000,3.18674
1363.4000,3.20245
1363.3000,3.21533
1363.2000,3.24225
1363.1000,3.25609
1363.0000,3.2684
1362.9000,3.28402
1362.8000,3.3061
1362.7000,3.31556
1362.6000,3.32838
1362.5000,3.34232
1362.4000,3.35856
1362.3000,3.37853
1362.2000,3.40206
1362.1000,3.4207
1362.0000,3.43362
1361.9000,3.44224
1361.8000,3.4657
1361.7000,3.48029
1361.6000,3.4993
1361.5000,3.5236
1361.4000,3.53331
1361.3000,3.54868
1361.2000,3.56542
1361.1000,3.5834
1361.0000,3.59714
1360.9000,3.61177
1360.8000,3.62399
1360.7000,3.64126
1360.6000,3.6528
1360.5000,3.66621
1360.4000,3.68335
1360.3000,3.70172
1360.2000,3.71293
1360.1000,3.73238
1360.0000,3.74516
1359.9000,3.76802
1359.8000,3.78856
1359.7000,3.8062
1359.6000,3.82314
1359.5000,3.84815
1359.4000,3.8765
1359.3000,3.89323
1359.2000,3.91487
1359.1000,3.93483
1359.0000,3.94648
1358.9000,3.9608
1358.8000,3.97665
1358.7000,3.9945
1358.6000,4.00951
1358.5000,4.02836
1358.4000,4.04574
1358.3000,4.05876
1358.2000,4.07699
1358.1000,4.09633
1358.0000,4.10879
1357.9000,4.11835
1357.8000,4.13893
1357.7000,4.16323
1357.6000,4.17646
1357.5000,4.18541
1357.4000,4.20633
1357.3000,4.22434
1357.2000,4.2408
1357.1000,4.2668
1357.0000,4.29014
