XYDATA,sample11.jws
402.2000,122.211
402.3000,122.216
402.4000,122.228
402.5000,122.238
402.6000,122.25
402.7000,122.263
402.8000,122.272
402.9000,122.293
403.0000,122.31
403.1000,122.324
403.2000,122.336
403.3000,122.345
403.4000,122.344
403.5000,122.365
403.6000,122.367
403.7000,122.364
403.8000,122.37
403.9000,122.374
404.0000,122.391
404.1000,122.408
404.2000,122.425
404.3000,122.444
404.4000,122.452
404.5000,122.459
404.6000,122.472
404.7000,122.477
404.8000,122.478
404.9000,122.491
405.0000,122.494
405.1000,122.506
405.2000,122.515
405.3000,122.515
405.4000,122.519
405.5000,122.53
405.6000,122.537
405.7000,122.541
405.8000,122.54
405.9000,122.544
406.0000,122.544
406.1000,122.543
406.2000,122.548
406.3000,122.552
406.4000,122.564
406.5000,122.568
406.6000,122.575
406.7000,122.582
406.8000,122.597
406.9000,122.609
407.0000,122.616
407.1000,122.631
407.2000,122.642
407.3000,122.647
407.4000,122.659
407.5000,122.662
407.6000,122.666
407.7000,122.669
407.8000,122.673
407.9000,122.681
408.0000,122.692
408.1000,122.698
408.2000,122.709
408.3000,122.716
408.4000,122.725
408.5000,122.733
408.6000,122.745
408.7000,122.759
408.8000,122.77
408.9000,122.779
409.0000,122.798
409.1000,122.807
409.2000,122.817
409.3000,122.829
409.4000,122.836
409.5000,122.847
409.6000,122.861
409.7000,122.874
409.8000,122.892
409.9000,122.898
410.0000,122.897
410.1000,122.952
410.2000,122.95
410.3000,122.959
410.4000,122.96
410.5000,122.955
410.6000,122.96
410.7000,122.974
410.8000,122.983
410.9000,122.996
411.0000,123.003
411.1000,123.015
411.2000,123.029
411.3000,123.039
411.4000,123.051
411.5000,123.051
411.6000,123.061
411.7000,123.064
411.8000,123.062
411.9000,123.071
412.0000,123.078
412.1000,123.079
412.2000,123.092
412.3000,123.108
412.4000,123.119
412.5000,123.126
412.6000,123.134
412.7000,123.148
412.8000,123.151
412.9000,123.162
413.0000,123.169
413.1000,123.168
413.2000,123.175
413.3000,123.188
413.4000,123.208
413.5000,123.209
413.6000,123.217
413.7000,123.227
413.8000,123.238
413.9000,123.244
414.0000,123.25
414.1000,123.247
414.2000,123.255
414.3000,123.26
414.4000,123.26
414.5000,123.262
414.6000,123.266
414.7000,123.285
414.8000,123.285
414.9000,123.28
415.0000,123.295
415.1000,123.296
415.2000,123.304
415.3000,123.305
415.4000,123.301
415.5000,123.315
415.6000,123.324
415.7000,123.331
415.8000,123.342
415.9000,123.353
416.0000,123.364
416.1000,123.376
416.2000,123.38
416.3000,123.39
416.4000,123.401
416.5000,123.401
416.6000,123.404
416.7000,123.413
416.8000,123.434
416.9000,123.439
417.0000,123.444
417.1000,123.453
417.2000,123.457
417.3000,123.474
417.4000,123.481
417.5000,123.48
417.6000,123.488
417.7000,123.499
417.8000,123.505
417.9000,123.508
418.0000,123.511
418.1000,123.533
418.2000,123.534
418.3000,123.537
418.4000,123.549
418.5000,123.56
418.6000,123.574
418.7000,123.579
418.8000,123.576
418.9000,123.578
419.0000,123.576
419.1000,123.576
419.2000,123.584
419.3000,123.586
419.4000,123.592
419.5000,123.6
419.6000,123.602
419.7000,123.614
419.8000,123.624
419.9000,123.635
420.0000,123.639
420.1000,123.638
420.2000,123.64
420.3000,123.65
420.4000,123.658
420.5000,123.658
420.6000,123.663
420.7000,123.68
420.8000,123.694
420.9000,123.702
421.0000,123.705
421.1000,123.713
421.2000,123.728
421.3000,123.729
421.4000,123.737
421.5000,123.741
421.6000,123.745
421.7000,123.753
421.8000,123.757
421.9000,123.76
422.0000,123.787
422.1000,123.797
422.2000,123.807
422.3000,123.819
422.4000,123.822
422.5000,123.835
422.6000,123.849
422.7000,123.847
422.8000,123.855
422.9000,123.86
423.0000,123.858
423.1000,123.857
423.2000,123.855
423.3000,123.873
423.4000,123.879
423.5000,123.88
423.6000,123.89
423.7000,123.904
423.8000,123.914
423.9000,123.916
424.0000,123.926
424.1000,123.935
424.2000,123.953
424.3000,123.961
424.4000,123.971
424.5000,123.979
424.6000,123.986
424.7000,123.995
424.8000,124.005
424.9000,124.009
425.0000,124.017
425.1000,124.025
425.2000,124.023
425.3000,124.026
425.4000,124.032
425.5000,124.032
425.6000,124.042
425.7000,124.042
425.8000,124.039
425.9000,124.055
426.0000,124.063
426.1000,124.06
426.2000,124.081
426.3000,124.088
426.4000,124.099
426.5000,124.104
426.6000,124.114
426.7000,124.121
426.8000,124.121
426.9000,124.127
427.0000,124.135
427.1000,124.142
427.2000,124.14
427.3000,124.142
427.4000,124.14
427.5000,124.147
427.6000,124.149
427.7000,124.157
427.8000,124.163
427.9000,124.173
428.0000,124.179
428.1000,124.187
428.2000,124.199
428.3000,124.195
428.4000,124.199
428.5000,124.211
428.6000,124.219
428.7000,124.229
428.8000,124.229
428.9000,124.237
429.0000,124.252
429.1000,124.261
429.2000,124.268
429.3000,124.28
429.4000,124.279
429.5000,124.291
429.6000,124.295
429.7000,124.299
429.8000,124.302
429.9000,124.306
430.0000,124.314
430.1000,124.318
430.2000,124.322
430.3000,124.335
430.4000,124.345
430.5000,124.358
430.6000,124.372
430.7000,124.377
430.8000,124.378
430.9000,124.385
431.0000,124.401
431.1000,124.406
431.2000,124.409
431.3000,124.412
431.4000,124.414
431.5000,124.427
431.6000,124.426
431.7000,124.426
431.8000,124.429
431.9000,124.438
432.0000,124.45
432.1000,124.454
432.2000,124.455
432.3000,124.451
432.4000,124.463
432.5000,124.466
432.6000,124.467
